	id	artist	title	genre	style	decade	year	filename
0	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_13.mp3
1	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_1.mp3
2	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_8.mp3
3	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_14.mp3
4	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_3.mp3
5	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_15.mp3
6	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_6.mp3
7	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_5.mp3
8	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_16.mp3
9	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_10.mp3
10	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_7.mp3
11	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_9.mp3
12	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_11.mp3
13	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_12.mp3
14	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_4.mp3
15	4003	the superbs	he's an aries man	 soul	soul	1980.0	1981.0	4003_2.mp3
16	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_2.mp3
17	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_4.mp3
18	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_12.mp3
19	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_14.mp3
20	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_9.mp3
21	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_8.mp3
22	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_10.mp3
23	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_11.mp3
24	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_6.mp3
25	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_5.mp3
26	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_1.mp3
27	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_13.mp3
28	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_3.mp3
29	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_15.mp3
30	4004	the superbs	i was born when you kissed me	 soul	soul	1960.0	1965.0	4004_7.mp3
31	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_1.mp3
32	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_19.mp3
33	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_14.mp3
34	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_12.mp3
35	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_15.mp3
36	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_11.mp3
37	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_18.mp3
38	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_20.mp3
39	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_13.mp3
40	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_10.mp3
41	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_3.mp3
42	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_16.mp3
43	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_5.mp3
44	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_6.mp3
45	4005	the superbs	where or when	 soul	 soul	1970.0	1977.0	4005_7.mp3
